
// OUTPUT - 5
&&NEWSITEMSTEXT, 0
199, "World Market Vote Results", "Military Aid for %s against %s Denied!", "%s's request for Military Aid against %s has been Denied.", "", "", "Acknowledge", "", "", ""
1990, "Germany Announces Submarine Campaign Expanded", "Submarines to target all armed ships", "Germany has announced that from this point forward, all armed merchant vessels will be targeted. They seem unconcerned that this will likely lead to the sinking of ships belonging to neutral nations.", "", "", "", "", "", ""
1991, "Defeat Germany", "Defeat the Central Powers", "While Austria-Hungary may have made the first attack in this war, it is Germany that represents the real threat. If we can defeat Germany, this war will come to an end. We must make sure that France and Russia survive as well.", "Success", "Failure", "", "", "", ""
1992, "Exert our authority over Serbia", "Own Belgrade while not¶at war with Entente", "We remain convinced that we can exert control over Serbia without a long conflict or perhaps even any conflict with the Entente powers. If we can own Belgrade and be at a state of peace with Serbia, France, Great Britain and Russia we will have achieved our goals. It may be necessary to eliminate one or more of these regions to reach these goals.", "", "", "", "", "", ""
1993, "Defeat Germany", "Defeat the Central Powers", "While Austria-Hungary may have made the first attack in this war, it is Germany that represents the real threat. If we can defeat Germany, this war will come to an end. We must make sure that Great Britain and Russia survive as well.", "", "", "", "", "", ""
1994, "Defeat France to Break the Entente", "Take France Out of the War", "Our support for Austria-Hungary has led us to war however this was likely inevitable. Russia will support Serbia and force us into war there. Since the Russian Empire grows more powerful with each month, better that we go to war now than in 1917. France will certainly support Russia, but we believe we can defeat them as well. Great Britain is the unknown in all this. To achieve our war goals, we will need to defeat France and force Great Britain and the Russian Empire to a neutral stance.", "Success", "Failure", "", "", "", ""
1995, "Maintain Influence in Europe", "Support our European Allies", "The aggression of Austria-Hungary threatens Serbia, our strongest ally in Eastern Europe and our one source of influence in the Balkans. Despite our appeals to the Germans to help avoid a confrontation, war appears inevitable. The French appear good to their word in supporting us which will allow us to apply pressure to Germany from two sides. To achieve our war goals, we will need to defeat Germany and force Austria-Hungary to a neutral position. Should any other nations join them, we will need to deal with them as well.", "Success", "Failure", "", "", "", ""
1996, "Mobilize our forces", "Reinforce the German Front", "It is clear that we will soon be at war with Germany. We should mobilize our forces on that front.¶¶We'll need at least seven troops at the fort of Verdun to start.", "Success", "Failure", "", "", "", ""
1997, "Protect our Colonies", "Ensure that strategic colonies¶are not lost", "Make sure we don't lose our colonies of Algeria, Tunisia, Malagasy, Indochina and Somaliland", "Success", "Failure", "", "", "", ""
1998, "Reinforce Tunisia", "Protect our North¶African Colony ", "We should send additional forces to Tunisia in case it comes under attack by the Central Powers.¶¶Move at least 5 troops to Tunis.", "Success", "Failure", "", "", "", ""
1999, "Reinforce Algeria", "Protect our North¶African Colony", "We should send additional forces to Algeria in case it comes under attack by the Central Powers.¶¶We must send at least 5 troops to Al Jazira.", "Success", "Failure", "", "", "", ""
2, "War Declared!", "%s Declares War on %s!", "%s has declared war on %s.", "", "", "Acknowledge", "Condemn War Declaration", "Support War Declaration", ""
20, "Military Desertions", "", "Some %s units in %s have begun to desert their posts.", "", "", "Acknowledge", "", "", ""
200, "Regional Warning", "", "We are concerned with your Military Build Up.  Should you continue, we may be forced to take actions.", "", "", "Acknowledge", "", "", ""
2000, "Capture German Togoland", "Target the German Colonies", "We can likely look to the British for support if we move against the German colony of Togoland. If we can reduce the size of their empire, it will hurt their war efforts through lost resources.", "Success", "Failure", "", "", "", ""
2001, "Recapture Mons for Belgium", "The Liberation of Belgium", "The Belgian city of Mons has been captured by the Central Powers. If we can restore it to Belgian control, it will help morale and provide us a strategic advantage.", "Success", "Failure", "", "", "", ""
2002, "Battle of Verdun", "Protect Verdun from the¶Central Powers", "The City of Verdun is strategically important, highly fortified and a historically significant city. We must defend Verdun at all costs. Do not allow it to fall!", "Success", "Failure", "", "", "", ""
2003, "Gallipoli", "Assault on the Turkish Straights¶and on to Constantinople", "It has been suggested that by attacking at Gallipoli, the Ottoman Empire could be knocked out of the war. A few who have studied the plan consider it madness but our military leaders assure us of an easy victory versus and incapable foe. The decision on whether or not to proceed remains yours...¶¶For this action to succeed, we will need to take the forts at the tip of the Gallipoli peninsula and the northern part of the city of Konstantinoupolis.", "Success", "Failure", "", "", "", ""
2004, "Declare war on the Russian Empire", "Begin the Assault versus¶the Russian Empire", "The Russian Empire has begun to mobilize!¶¶Russian support for Serbia is unfortunate, but not unexpected. A conflict with the Russian Empire was seen as inevitable. Better now, while their infrastructure is still limited, then a war in 1917 when they have grown stronger still. Regardless, we do not expect this conflict will last more than six months.¶¶It is time to declare war on the Russian Empire.", "", "", "", "", "", ""
2005, "Declare war on France", "Begin the Offensive Against¶the French", "It is time for us to begin the war on the Western front. With hostilities commencing against the Russian Empire, it is only a matter of time before we face their ally, France, in the West. If we can use the Schlieffen Plan to quickly for France out of the war, then Great Britain will hesitate and the Russian Empire will have no choice but to sue for peace.¶¶It is time to declare war on France.", "", "", "", "", "", ""
2006, "Capture Warszawa", "The Eastern Front War", "To begin our campaign against the Russian Empire, we should aim for Warszawa with it's large Polish population.", "Success", "Failure", "", "", "", ""
2007, "Access to Luxembourg Territory", "Declare War on Luxembourg", "While our conflict is not with Luxembourg, the Shlieffen Plan requires access through their territory. We expect that they will capitulate the moment we make the declaration of war.¶¶Declare war on Luxembourg.", "Success", "Failure", "", "", "", ""
2008, "Take Bruxelles", "Continue the Western Front War", "The Belgians also have the misfortune of being on our path to victory against the French. Since they seem unwilling to allow us passage, we will need to move through by force. We must break the fortifications at Liege and Namur quickly to move on to Bruxelles, Mons and Ypres.¶¶Declare War on Belgium and take Bruxelles.", "Success", "Failure", "", "", "", ""
2009, "The Schlieffen Plan", "", "Our generals have determined that the best way to force the French out of the war will be a quick move on Paris, by way of Belgium and the North. This has been named the Schlieffen Plan. We should prepare our forces accordingly.", "", "", "", "", "", ""
201, "Regional Warning", "", "Your Military Build Up on our Border is cause for grave concern and will not be tolerated.", "", "", "Acknowledge", "", "", ""
2010, "Capture Minsk", "Continue the Eastern Front War", "The Russian city of Minsk is deep within the Russian Empire, but now within our reach. With it's capture, we will finally enjoy the advantage of vast territory between our key cities and the Russian border.", "Success", "Failure", "", "", "", ""
2011, "Take Kyyiv", "Continue the Eastern Front War", "The city of Kyyiv takes us further South and opens a path to the Black Sea. We must continue to push into Russian territory.", "Success", "Failure", "", "", "", ""
2012, "Take Petrograd", "Continue the Eastern Front War", "The Russian capital of Petrograd, the seat of their government, is key to crushing Russian resistance once and for all.", "Success", "Failure", "", "", "", ""
2013, "Capture Moskva", "Continue the Eastern Front War", "The city of Moskva and the surrounding areas are a major industrial area and the beginning of our path to the Urals. If that area falls, it is unlikely the Russian Empire will be able to offer any further resistance.", "Success", "Failure", "", "", "", ""
2014, "Capture Ypres", "Continue the Western Front War", "This represents one of the farthest corners of Belgium from where we started. Taking Ypres will provide us secure access to the cities on the North Sea as well, applying greater pressure on Great Britain.", "Success", "Failure", "", "", "", ""
2015, "Conquer Paris", "Continue the Western Front War", "The goal of the Schleiffen plan has been all along to take Paris as quickly as possible, and for France out of the war. It's time to make that a reality.", "Success", "Failure", "", "", "", ""
2016, "Take Dijon", "Continue the Western Front War", "Since France refuses to fall, we should begin to look South. the city of Dijon is strategically important for its industries and transportation connections.", "Success", "Failure", "", "", "", ""
2017, "Take Lyon", "Continue the Western Front War", "If we capture Lyon, we will have a large portion of French economic and defense industries. Once France looses Lyon, she will be greatly weakened.", "Success", "Failure", "", "", "", ""
2018, "Take Allenstein", "The Battle of Tannenberg", "The German position of Allenstein must be taken so we can secure the northern front.", "Success", "Failure", "", "", "", ""
2019, "Take Poznan ", "Attack the City of¶Poznan", "The city of Poznan is in German control but has a high Polish population. We must take this city as we continue to move West towards Berlin.", "Success", "Failure", "", "", "", ""
202, "Regional Greeting", "", "We admire the policies you have set and the leadership you have displayed.", "", "", "Acknowledge", "", "", ""
2020, "Defend Katowice", "Hold Against the Central Powers", "The city of Katowice is a strategic point in our Polish territories. We must defend it.", "Success", "Failure", "", "", "", ""
2021, "Capture Budapest ", "Austro-Hungarian Campaign", "We must continue our progress into the heart of Hungarian territory. The capture of Budapest will be a great victory for us and a blow to Austro-Hungarian morale.", "Success", "Failure", "", "", "", ""
2022, "Take Przemysl", "Hungarian Campaign", "Capture the fortress of Przemysl to weaken the Austro-Hungarian Empire.", "Success", "Failure", "", "", "", ""
2023, "Defend Sarikamis", "Stop Ottoman Advances", "We can expect the Ottoman Empire to target Sarikamish on our shared border. We must defend the town and prepare the counterattack.", "Success", "Failure", "", "", "", ""
2024, "Take Rize", "The road to Angora", "Capture the city of Rize", "Success", "Failure", "", "", "", ""
2025, "Capture Trabzon", "The road to Angora", "Capture the city of Trabzon", "Success", "Failure", "", "", "", ""
2026, "Capture Samsun", "The road to Angora", "Capture the city of Samsun", "Success", "Failure", "", "", "", ""
2027, "Take Angora", "The road to Angora", "Take Angora", "Success", "Failure", "", "", "", ""
2028, "Capture Bitlis", "Ottoman Campaign", "The City of Bitlis is strategically important, offering us a position from which we could cut the Ottoman Empire in two. We must capture Bitlis.", "Success", "Failure", "", "", "", ""
2029, "Take Adana", "Ottoman Campaign", "The capture of Adana would give us access to the Mediterranean Sea. This would allow for reinforcements from allied nations to assist in fighting against the Ottoman Empire.", "Success", "Failure", "", "", "", ""
203, "Interest in Improved Relations", "", "We are willing to entertain any Diplomatic Offers you might be interested in making.  We see this as an opportune time to improve Regional Relationships.", "", "", "Acknowledge", "Open negotiations with region", "", ""
2030, "Take Halab", "Ottoman Campaign", "The capture of Halab will draw an East-West line through the heart of the Ottoman Empire. We must press the attack and continue to take ground.", "Success", "Failure", "", "", "", ""
2031, "Capture Dimashq", "Ottoman Campaign", "If we can reach the Southern city of Dimashq, we will be within reach of the Suez Canal and can cut off all Ottoman forces in the South.", "Success", "Failure", "", "", "", ""
2032, "Capture Van", "Ottoman Campaign", "the capture of the city of Van will protect our Eastern flank as we advance into the Middle East. Word is that fighting is already occurring there between Ottoman troops and Armenian minority groups.", "Success", "Failure", "", "", "", ""
2033, "Capture Konstantinoupolis", "Ottoman Campaign", "The Ottoman capital of Konstantinoupolis is within reach, we need only a little more effort from our forces. With the loss of their capital, the power of the Ottoman Empire will be greatly reduced.", "Success", "Failure", "", "", "", ""
2034, "Protect Belgium", "Defend Belgium from Germany", "Germany seems willing to ignore the sovereignty of neutral nations. We must help with the defense of Belgium.¶¶We must keep Belgium from falling.", "Success", "Failure", "", "", "", ""
2035, "Defend Paris", "Defend Paris from the Central Powers", "Should Paris fall, it is quite possible that France will be forced out of the war. We must assist in its defense.", "Success", "Failure", "", "", "", ""
2036, "Capture Koblenz", "Take Koblenz", "Koblenz is providing a lot of supplies to Germany. If we can capture the city we can take their supplies and hinder the German forces. ", "Success", "Failure", "", "", "", ""
2037, "Capture Dusseldorf", "Take Dusseldorf", "Taking Dusseldorf should be a high priority. It will allow us to push back the Germans and cut off some of their supplies. ", "Success", "Failure", "", "", "", ""
2038, "Liberate Bruxelles", "Attack Bruxelles", "The Germans have captured and taken over Belgium. We must try to liberate Bruxelles at all costs to drive the Germans out of Belgium. ", "Success", "Failure", "", "", "", ""
2039, "Capture Hannover", "Take Hannover", "Hannover is one of the main military cities of Germany. If we can push through and capture it, we may be able to end this war quickly. ", "Success", "Failure", "", "", "", ""
204, "Interest in Cease Fire", "", "Both of our regions grow tired of the hostilities.  We would gladly entertain any peaceful overtures you wish to make.", "", "", "Acknowledge", "Open negotiations with region", "", ""
2040, "Capture Bremen", "Take Bremen", "Bremen is an important city to capture due to its proximity to the North Sea. If we can capture it, we can more easily transport troops and supplies to the front line.", "Success", "Failure", "", "", "", ""
2041, "Capture Hamburg", "Take Hamburg", "If we capture Hamburg it should strike a blow to German morale. This will bring the war closer to an end. ", "Success", "Failure", "", "", "", ""
2042, "Liberate Luxemburg", "Attack Luxemburg", "We must push the Germans back to the land they came from. Liberating Luxemburg should be a priority to restore stability to the country. ", "Success", "Failure", "", "", "", ""
2043, "Capture Magdburg", "Take Magdburg", "If we can push forward and capture Magdburg this should bring the Germans even closer to surrender.", "Success", "Failure", "", "", "", ""
2044, "Capture Berlin", "Take the German Capital", "Berlin is in our sights. If the Germans won't surrender we must force them to. Taking their capital seems to be the only way. ", "Success", "Failure", "", "", "", ""
2045, "Capture The Gallipoli Area", "Take Gallipoli", "Gallipoli should be a high priority in the war against the ottomans. We can use our vastly superior navy to help secure the area. ", "Success", "Failure", "", "", "", ""
2046, "Mobilize our forces", "Defend our borders", "As the Empire of Austria-Hungary continues to push for conflict versus Serbia, we should begin preparations for war. We should mobilize troops on the Eastern and Western fronts since we will likely face both the Russian Empire and France. ¶¶Our first positions should be Metz in the West and Breslau in the East. We should station 7 troops at each of these locations.", "Success", "Failure", "", "", "", ""
2047, "Defend the Suez Canal Zone", "Protect the Canal", "The Suez Canal is of vital importance for us. We must protect it at all costs to ensure victory against the Ottomans. ", "Success", "Failure", "", "", "", ""
2048, "Defend Kuwait", "Protect Our Colony", "The Ottomans are nearing our colony of Kuwait. We must protect our people and reply the Ottomans. ", "Success", "Failure", "", "", "", ""
2049, "Defend Nigeria", "Reinforce our Colony", "Nigeria is under threat from German Kamerun on her Eastern border. We should increase our forces in the colony to assure we don't lose access to those resource.¶¶Send at least 5 units to Port Harcourt, British Nigeria.", "Success", "Failure", "", "", "", ""
205, "We wish to Surrender", "", "It is clear that you have the upper hand in this conflict and we wish to negotiate the terms of our surrender.", "", "", "Ignore their pleas", "Open negotiations with region", "", ""
2050, "Take German Togoland", "Capture Togoland", "German Togoland is near some of our colonies. We must strike first and take it before they can react. ", "Success", "Failure", "", "", "", ""
2051, "Take German Kamerun", "Capture Kamerun", "We have gotten word that the Germans may try to capture our colony of Nigeria. They will most likely use German Kamerun as the launching point. We must invade and capture Kamerun to prevent this.", "Success", "Failure", "", "", "", ""
2052, "Seek Italian Support", "Convince Italy to Join the¶Entente Pwers", "Italy seems to have little objections to attacking its former allies. If we can assure Italy that their historic land claims will be considered in any peace agreements, we should be able to get them to assist us against the Central Powers.¶¶Offer Italy an Mutual Defense agreement as a sign of good faith.", "Success", "Failure", "", "", "", ""
2053, "Seek Greek Support", "Open talks with Greece", "The Greeks could be a useful ally. We should seek their assistance and support as soon as we can. ¶¶Sign Mutual Defense with Greece.", "Success", "Failure", "", "", "", ""
2054, "Seek Portugese Support", "Open talks with Portugal", "The Portuguese appear to have lost patience with the German tactic of unrestricted submarine warfare. They could be a very useful ally, especially when it comes to protecting our trade routes. We should seek diplomatic talks with them to ensure support. ¶¶Sign a Mutual Defense Agreement with Portugal.", "Success", "Failure", "", "", "", ""
2055, " Seek American Support", "Get American Support", "Germany has misjudged the impact of their unrestricted submarine warfare on American opinion. Their actions have brought them to the brink of war. We expect that we need only reassure the United States of our commitment to work together. They will be able to help us in many ways with supplies and troops. We should open talks with them.¶¶Sign a Mutual Defense agreement with the United States.", "Success", "Failure", "", "", "", ""
2056, "Take Al-Arisha", "Capture Al-Arisha", "We must capture Al-Arisha to put pressure on the Ottomans. ", "Success", "Failure", "", "", "", ""
2057, "Declare War on Germany", "War Against Germany", "Germany has declared war on Belgium and started invading. This is unacceptable. We must declare war on Germany and take the fight to them. ", "Success", "Failure", "", "", "", ""
2058, "Defend Reims", "Assist in Reims", "The Germans have pushed through Belgium and are now heading towards Reims. We must help our French allies and defend Reims!", "Success", "Failure", "", "", "", ""
2059, "Take Al Kut", "Capture Al Kut", "We must push forward in our campaign against the Ottomans. Capturing Al Kut should be a priority. ", "Success", "Failure", "", "", "", ""
206, "Request for Military Help", "", "We desperately need your help in our conflict with %s.  Will you send assistance?", "", "", "Ignore their pleas", "Open negotiations with region", "", ""
2060, "Take Baghdad", "Capture Baghdad", "The campaign against the Ottomans is moving along well. It is time we push forward and capture Baghdad. ", "Success", "Failure", "", "", "", ""
2061, "Serbian Invasion", "Conquer Serbia", "Serbia has not agreed to all our demands, so we must show them what happens next. Our forces are mobilized and ready to fight. Now is the time to conquer Serbia!", "Success", "Fail", "", "", "", ""
2062, "Capture Beograd", "Take their capital", "We must take the capital of Serbia, Beograd. ", "Success", "Fail", "", "", "", ""
2063, "Capture Skopje", "Take Skopje", "We must take Skopje as part of our advance into the Macedonian Front. ", "Success", "Fail", "", "", "", ""
2064, "Conquer Montenegro", "Take the Kingdom of Montenegro", "Serbia is retreating through Montenegro. We must invade to slow these actions and take Montenegro as our own. ", "Success", "Fail", "", "", "", ""
2065, "Conquer Albania", "Take over Albania", "The Serbian forces are retreating through Albania. We must invade for these actions. Take Albania at all costs. ", "Success", "Fail", "", "", "", ""
2066, "Repel the Invaders", "Push back the Russian Forces", "The Russian Empire has declared war on us and starting invading. We must push them back and rid them from our land and then conquer their territories as well.¶¶It is time to eliminate the Russian Empire.", "Success", "Fail", "", "", "", ""
2067, "Capture Lodz", "Take Lodz", "We must capture the city of Lodz. This should be easy for our forces to take. ", "Success", "Fail", "", "", "", ""
2068, "Capture Warszawa", "Take Warszawa", "We must capture Warszawa to push back the Russian forces. ", "Success", "Fail", "", "", "", ""
2069, "Capture Kyyiv", "Take Kyyiv", "We must take the city of Kyyiv to push back the Russian forces.", "Success", "Fail", "", "", "", ""
207, "Request for Economic Aid", "", "Our shortage of %s is crippling our economy.  Can you please help us?", "", "", "Ignore their pleas", "Open negotiations with region", "", ""
2070, "Capture Odesa", "Take Odesa", "Now that we are at war with Russia, we should take for their city of Odesa", "Success", "Fail", "", "", "", ""
2071, "Take Back Our City", "Capture Przemysl", "Our enemies have taken Przemysl. We must take it back!", "Success", "Fail", "", "", "", ""
2072, "Reclaim Our City", "Recapture Kolozsvar", "Our enemies have taken Kolozsvar from us. It is time to take it back. ", "Success", "Fail", "", "", "", ""
2073, "Conquer Great Britain", "Bring the war to London", "Great Britain decided to enter this war. It is now time to make them regret this decision.", "", "", "", "", "", ""
2074, "Attacking Cyprus", "Capture Cyprus", "Now that the British have declared war on us, we should go after their colonies, starting with Cyprus. ", "Success", "Fail", "", "", "", ""
2075, "Cutoff Their Access", "Capture The Suez Canal", "We must capture the Suez Canal from the British. This will make it much tougher for our enemies to travel.", "Success", "Fail", "", "", "", ""
2076, "Conquer France", "Take over France", "Our German allies have started invading France. We should assist them and conquer some French land as our own. ", "Success", "Fail", "", "", "", ""
2077, "African Conquest", "Capture Tunisia", "Now that the French have declared war on us, we should focus on taking their colony of Tunisia. ", "Success", "Fail", "", "", "", ""
2078, "Sway Them To Our Side", "Secure Bulgarian Support", "We must make sure Bulgaria joins the war as part of the central powers. Bulgaria has indicated that so long as we own Beograd, they will join us in attacking Serbia.", "Success", "Fail", "", "", "", ""
2079, "Take Back Our City", "Retake Krakow", "Our enemies have taken Krakow, we must take it back. ", "", "", "", "", "", ""
208, "Demand for Surrender", "", "We have defeated you.  We give you this opportunity to negotiate terms for your surrender or we will be forced to crush you.", "", "", "Ignore their threats", "Open negotiations with region", "", ""
2080, "Take Back What Was Ours!", "Retake Lemburg", "We should retake the city of Lemburg from our enemies.", "Success", "Fail", "", "", "", ""
2081, "Armenian Genocide", "Atrocities in the Ottoman Empire", "Entente forces recently reached the Ottoman city of Van and discovered a horrific sight. It would seem that the Ottoman leadership has been blaming the Armenian minority living in the middle east for the challenges they have faced in the war. The governments solution has been forced relocation, seizing of assets and the killing of civilians. The number of dead Armenians is staggering. What is occurring in the region is a genocide of the Armenian people.", "", "", "", "", "", ""
2082, "Revolution In Russia", "Revolt in Russia", "Due to the instability happening in Russia, the new head of state Lenin has agreed to peace with Germany. They have forfeited much of their land in the process. Finland and Ukraine have now declared independence from Russia.  ", "", "", "", "", "", ""
2083, "Tensions Rising Between Portugal and Germany", "Portugal Remains Neutral Despite¶Minor Incidents", "While there have been small conflicts in Portuguese and German colonial territories, Portugal still remains neutral. The relations between the two nations are however showing some strain.", "", "", "", "", "", ""
2084, "Archduke Ferdinand Assassinated!", "", "The assassination of the archduke Franz Ferdinand appears to have provide the empire of Austria-Hungary with the excuse they have been seeking to expand power in the Balkans. Their annexation of Bosnia and Herzegovina in 1908 brought a large number of Slavs under their authority and they now appear to have Serbia in their sights.¶¶The Central Powers of Germany, Italy and Austria-Hungary have alliances although Italy is seen as an unlikely participant in any conflict. The Russians have strong ties to the Serbs and are allied with France. Great Britain is unaligned, but seems concerned by German ambitions and seems eager to protect the independence of neutral nations, in particular that of Belgium.¶¶All these alliance, once designed to keep peace, appear to have created the potential for war on a scale never before seen. ", "", "", "", "", "", ""
2085, "Reinforce Verdun", "Deploy Seven Units as¶a Garrison", "The fortress at Verdun will be one of our greatest assets. We need to station a large force there.¶¶Seven land units will make for an effective garrison.", "", "", "", "", "", ""
2086, "Recapture Charleville-Méziers", "Retake the City!", "The Central Powers have used their attack on Belgium to bypass our forces in the south and Charleville-Méziers is a natural choke point for forces moving through the area.¶Retake the city and stop the invading tide.", "", "", "", "", "", ""
2087, "Emperor Franz Ferdinand", "", "Franz Joseph died 3 months ago and Franz Ferdinand has become Emperor. As such, the events at Sarajevo never happened.  Ferdinand took the throne with some very clear ideas in mind. Determined to avoid war with Russia and concerned about the impact of Serb, Bosnian and Croat resistance, he enacted a radical solution. Serbia and Montenegro were granted their disputed territories and a colony of Croatia was created to grant the Slavs a degree of self determination, or at least the appearance of such. Specifically favoring the Croats over the Bosnians, Ferdinand hopes that internal tensions can avoid anti-colonial sentiments in the territory while still providing economic advantage to Austria-Hungary.  These actions have created a notable shift in power. Germany is furious at its former ally but has no justification to act. Romania is angry that their territorial claims continue to be ignored. France and Great Britain support Austro-Hungarian efforts to maintain the peace. Germany, still concerned about the growing Russian power, now looks for new allies. Italy is envious of Austrian power and continues to eye the Albanian territories while dealing with unrest in Africa.", "", "", "", "", "", ""
2088, "Diplomatic Incident", "", "A diplomatic incident occurred today between $S and $S. It seems to have hurt relations between their governments.", "", "", "", "", "", ""
2089, "Diplomatic Ties", "", "Recent talks between $S and $S have helped them find common ground. Relations between their governments have improved", "", "", "", "", "", ""
209, "Treaty Compliance", "Weapons of Mass Destruction Scrapped", "As a result of signing a Treaty to ban Weapons of Mass Destruction, all inventories have been scrapped.", "", "", "Acknowledge", "", "", ""
2090, "Leadership Change", "Elections Result in Change of Leadershp", "Democratic elections in %S have seen a new leader brought to power.", "", "", "", "", "", ""
2091, "", "", "", "", "", "", "", "", ""
2092, "Russia Shatters!", "", "The ground trembles as the mighty Russia breaks, torn asunder and left to revel in the aftermath. With Moscow, and the other Russian Federations, left vulnerable to NATO they scramble to form treaties to protect themselves. Some of these new nations still maintain friendly ties with Moscow, however others treat Moscow with hostility.  On the world stage, the United States has sided with St. Petersburg while denouncing the actions taken by Vladimir Putin. China is indecisive on the relations of the new Russian states, upset that their alliance with a larger international power has been shattered. Eastern Europe is tense due to the possibility of these new nations looking to expand their borders.", "", "", "", "", "", ""
2093, "Mother Russia is no more!", "", "Russia has fallen and we are left to pick up the pieces. Moscow remains a tremendous force on the world stage. The remaining Federations to reclaim their land as well as their hope. Tensions are high between the new founded nations, some hunger for power to rebuild once again while others rush to make alliances to ensure their survivability. ", "", "", "", "", "", ""
2094, "Tweet from the President", "", "It's freezing and snowing in New York--we need global warming!", "", "", "", "", "", ""
2095, "Tweet from the President", "", "Sure the First Ammendment is important, but will it blend?", "", "", "", "", "", ""
2096, "Tweet from the President", "", "Happy #CincoDeMayo! The best taco bowls are made in Trump Tower Grill. I love Hispanics!", "", "", "", "", "", ""
2097, "Tweet from the President", "", "How long did it take your staff of 823 people to think that up--and where are your 33,000 emails that you deleted?", "", "", "", "", "", ""
2098, "Tweet from the President", "", "Such a great honor to be the Republican Nominee for President of the United States. I will work hard and never let you down! AMERICA FIRST!", "", "", "", "", "", ""
2099, "Tweet from the President", "", "The media is spending more time doing a forensic analysis of Melania's speech than the FBI spent on Hillary's emails.", "", "", "", "", "", ""
21, "Low Morale", "", "Under-funding of soldier salaries is hurting military morale (could lead to desertions).  I recommend we Increase Soldier Salaries immediately.", "Due to higher than normal Military Unrest, I recommend we spend money on improving their Morale.", "", "Agree", "Deny", "Postpone decision", "Review Defense Dept"
210, "Treaty Compliance", "Chemical Weapons Scrapped", "As a result of signing a Treaty to ban Chemical Weapons, all inventories have been scrapped.", "", "", "Acknowledge", "", "", ""
2100, "Tweet from the President", "", ".@BattleGoat is a terrible company with no vision. Their 2020 scenario predicts Crooked Hillary is going to win this election. SAD! ", "", "", "", "", "", ""
2101, "Tweet from the President", "", ".@BattleGoat Studios is really one of the best/talented! This Trump expansion shows true Americans will WIN! #MAGA ", "", "", "", "", "", ""
2102, "Tweet from the President", "", "The media and establishment want me out of the race so badly - I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN! #MAGA", "", "", "", "", "", ""
2103, "Tweet from the President", "", "It's STILL freezing and snowing in New York--where's that global warming?", "", "", "", "", "", ""
2104, "Tweet from the President", "", "In addition to winning the Electoral College in a landslide, I won the popular vote if you deduct the millions of people who voted illegally", "", "", "", "", "", ""
2105, "Tweet from the President", "", "I did not confuse @psy_oppa for @RealKimJUn again. It was his fault for looking so similar #FAKE NEWS", "", "", "", "", "", ""
2106, "Tweet from the President", "", "Despite the constant negative press covfefe", "", "", "", "", "", ""
2107, "Tweet from the President", "", "You are witnessing the single greatest WITCH HUNT in American political history - led by some very bad and conflicted people! #MAGA", "", "", "", "", "", ""
2108, "Tweet from the President", "", "North Korea has just launched another missile. Does this guy have anything better to do with his life? Hard to believe that South Korea...", "", "", "", "", "", ""
2109, "Tweet from the President", "", "...and Japan will put up with this much longer. Perhaps China will put a heavy move on North Korea and end this nonsense once and for all!", "", "", "", "", "", ""
211, "Treaty Compliance", "Biological Weapons Scrapped", "As a result of signing a Treaty to ban Biological Weapons, all inventories have been scrapped.", "", "", "Acknowledge", "", "", ""
2110, "Tweet from the President", "", "Trade between China and North Korea grew almost 40% in the first quarter. So much for China working with us - but we had to give it a try!", "", "", "", "", "", ""
2111, "Tweet from the President", "", "These immigrants are climbing in your windows, snatching your people up. So we need to hide your kids, hide your wife, and hide your husbands. #MAGA", "", "", "", "", "", ""
2112, "Tweet from the President", "", "I spoke with President Moon of South Korea last night. Asked him how Rocket Man is doing. Long gas lines forming in North Korea. Too bad!", "", "", "", "", "", ""
2113, "Tweet from the President", "", "Why would Kim Jong-un insult me by calling me 'old,' when I would NEVER call him 'short and fat?' Oh well, I try so hard to be his friend - and maybe someday that will happen!", "", "", "", "", "", ""
2114, "Tweet from the President", "", "Leave Putin alone, please. When is it ok to bash someone who's going through a hard time? LEAVE PUTIN ALONE.. PLEASE! ", "", "", "", "", "", ""
2115, "Tweet from the President", "", "Attention Rocket Man, all your nuclear base are belong to us!", "", "", "", "", "", ""
2116, "Tweet from the President", "", "Much FAKE NEWS. Very dissapointment. Wow.", "", "", "", "", "", ""
2117, "Tweet from the President", "", "'... We are both dragon energy...' - Thank you Kanye, very cool!", "", "", "", "", "", ""
2118, "Tweet from the President", "", "I'm falling asleep listening to Merkle and that Frenchie drone on about non-AMERICAN issues. What we really covfefe", "", "", "", "", "", ""
2119, "Tweet from the President", "", "As BORING as these G7 talks are, I am comiited to putting Americans first!. Really in the mood for Korean food right now.", "", "", "", "", "", ""
212, "Treaty Compliance", "Nuclear Weapons Scrapped", "As a result of signing a Treaty to ban Nuclear Weapons, all inventories have been scrapped.", "", "", "Acknowledge", "", "", ""
2120, "Tweet from the President", "", "Why would I be jealous of FAKE FRIEND @JustinTrudeau? Any REAL polls show I am much more attractive. Don't listen to #FAKENEWS", "", "", "", "", "", ""
2121, "Tweet from the President", "", ".@Supreme_Leader_Un looked thin and strong today, really great. Even the doctor, one of the best doctors, said he was a fine example of a healthy man.", "", "", "", "", "", ""
2122, "Tweet from the President", "", "What everyone says about Korean skin routines is true, @The_Un_True_Leader's hands were very soft, but FIRM handshake.", "", "", "", "", "", ""
